recipe_id,ing_id,ing_name,cat,continent
272291,16294,sweetened condensed milk,dairy,LAT
222326,5121,mango,plant,LAT
222326,4342,garlic,spice,LAT
222326,20447,habanero pepper,plant,LAT
222326,3717,fresh cilantro,spice,LAT
222326,5112,lime juice,plantproduct,LAT
221439,6307,olive oil,condiment,LAT
221439,5375,bacon,animal,LAT
221439,4397,onion,plant,LAT
221439,4342,garlic,spice,LAT
213699,5112,lime juice,plantproduct,LAT
213699,4397,onion,plant,LAT
213699,5140,orange juice,plantproduct,LAT
213699,5592,hot sauce,condiment,LAT
230741,5219,raisin,plantproduct,LAT
230741,5460,beef stock,animal,LAT
230741,3103,ground beef,animal,LAT
230741,16404,paprika,spice,LAT
230741,20551,ground cumin,spice,LAT
230741,16406,ground black pepper,spice,LAT
230741,16157,butter,dairy,LAT
230741,1684,all-purpose flour,grain,LAT
231866,6307,olive oil,condiment,LAT
231866,5199,plantain,plantproduct,LAT
231866,16261,sour cream,dairy,LAT
223055,6307,olive oil,condiment,LAT
223055,4342,garlic,spice,LAT
223055,3640,tomato paste,plantproduct,LAT
223055,16380,bay leaf,spice,LAT
223055,20551,ground cumin,spice,LAT
223055,16403,dried oregano,spice,LAT
223055,16406,ground black pepper,spice,LAT
223055,4397,onion,plant,LAT
223055,4432,green bell pepper,plant,LAT
223055,1735,masa harina,grain,LAT
223055,1526,white sugar,condiment,LAT
223055,7842,white vinegar,condiment,LAT
234428,6305,vegetable oil,condiment,LAT
234428,4405,green onion,spice,LAT
234428,3725,jalapeno pepper,plant,LAT
234428,20551,ground cumin,spice,LAT
234428,16377,ground allspice,spice,LAT
234428,3717,fresh cilantro,spice,LAT
236445,6305,vegetable oil,condiment,LAT
236445,4397,onion,plant,LAT
236445,4572,tomato,plant,LAT
236445,4342,garlic,spice,LAT
236445,4292,celery,plant,LAT
236445,4279,carrot,plant,LAT
236445,4267,cabbage,plant,LAT
236445,4442,potato,plant,LAT
261635,16278,milk,dairy,LAT
261635,1526,white sugar,condiment,LAT
261635,16319,egg yolk,animal,LAT
261635,1735,masa harina,grain,LAT
261635,16424,vanilla extract,plantproduct,LAT
261635,16339,unsalted butter,dairy,LAT
261635,16339,unsalted butter,dairy,LAT
261635,1526,white sugar,condiment,LAT
261635,1735,masa harina,grain,LAT
261635,2356,baking powder,other,LAT
261635,16278,milk,dairy,LAT
260001,6307,olive oil,condiment,LAT
260001,4397,onion,plant,LAT
260001,4342,garlic,spice,LAT
260001,3701,tomatillo,plant,LAT
260001,5012,avocado,plant,LAT
260001,4397,onion,plant,LAT
260001,3723,serrano pepper,plant,LAT
260001,4342,garlic,spice,LAT
260001,3717,fresh cilantro,spice,LAT
260001,2351,corn tortilla,grain,LAT
260001,4397,onion,plant,LAT
260001,3717,fresh cilantro,spice,LAT
260001,5111,lime,plant,LAT
262058,16157,butter,dairy,LAT
262058,4397,onion,plant,LAT
262058,6494,chicken breast,animal,LAT
262058,16406,ground black pepper,spice,LAT
262058,16278,milk,dairy,LAT
262306,13968,chicken stock,animal,LAT
262306,4279,carrot,plant,LAT
