_ - _ - recipe_id,_ - _ - ingredients - _ - ing_id,_ - _ - ingredients - _ - ing_name,cat
86602,20473,garam masala,spice
86602,4279,carrot,plant
86602,4432,red bell pepper,plant
86602,4442,potato,plant
86602,16278,milk,dairy
38849,6294,mayonnaise,condiment
38849,1526,white sugar,condiment
38849,18868,rice vinegar,condiment
38849,16157,butter,dairy
38849,16404,paprika,spice
38849,16396,garlic powder,spice
206503,4405,green onion,spice
206503,1526,white sugar,condiment
24900,20482,frying oil,condiment
24900,2882,soy sauce,condiment
24900,6309,sesame oil,condiment
24900,4342,garlic,spice
24900,4405,green onion,spice
24900,2355,wonton wrapper,grain
52232,6305,vegetable oil,condiment
52232,4397,onion,plant
52232,16380,bay leaf,spice
52232,4442,potato,plant
52232,4421,frozen pea,plantproduct
52232,20473,garam masala,spice
52232,16404,paprika,spice
52232,1526,white sugar,condiment
52232,3717,fresh cilantro,spice
57354,4397,onion,plant
57354,20303,cinnamon stick,spice
57354,18794,whole clove,spice
57354,4343,fresh ginger root,spice
57354,1526,white sugar,condiment
57354,5597,fish sauce,condiment
57354,1728,rice noodles,grain
57354,5595,hoisin sauce,condiment
57354,4397,onion,plant
57354,3717,fresh cilantro,spice
57354,20194,bean sprouts,plant
57354,16159,fresh basil,spice
57354,4405,green onion,spice
57354,5111,lime,plant
26627,2882,soy sauce,condiment
26627,6309,sesame oil,condiment
26627,1636,cornstarch,plantproduct
26627,1525,brown sugar,condiment
26627,20244,red pepper flakes,spice
26627,3709,red chile pepper,spice
26627,6305,vegetable oil,condiment
26627,4405,green onion,spice
205616,16157,butter,dairy
205616,16396,garlic powder,spice
205616,16404,paprika,spice
205616,6294,mayonnaise,condiment
205616,1526,white sugar,condiment
205616,16407,cayenne pepper,spice
19607,4405,green onion,spice
19607,3718,lemon grass,plant
19607,3717,fresh cilantro,spice
19607,18860,fresh mint,plant
19607,5112,lime juice,plantproduct
19607,5597,fish sauce,condiment
19607,1526,white sugar,condiment
12854,1684,all-purpose flour,grain
12854,1636,cornstarch,plantproduct
12854,16408,ground white pepper,spice
12854,6379,vegetable oil,condiment
12854,20482,frying oil,condiment
12854,1502,honey,animal
86410,1636,cornstarch,plantproduct
86410,4342,garlic,spice
86410,1526,white sugar,condiment
86410,4252,broccoli,plant
86410,1636,cornstarch,plantproduct
86410,20244,red pepper flakes,spice
86410,6305,vegetable oil,condiment
86410,4397,onion,plant
31963,1526,white sugar,condiment
31963,2882,soy sauce,condiment
24382,6307,olive oil,condiment
24382,1526,white sugar,condiment
24382,2882,soy sauce,condiment
24382,3752,sesame seed,grain
24382,4273,bok choy,plant
24382,4405,green onion,spice
53731,2882,soy sauce,condiment
53731,6309,sesame oil,condiment
53731,4405,green onion,spice
53731,4342,garlic,spice
53731,3752,sesame seed,grain
53731,1526,white sugar,condiment
53731,16406,ground black pepper,spice
53731,6305,vegetable oil,condiment
53731,4279,carrot,plant
53731,4516,spinach,plant
53731,2882,soy sauce,condiment
53731,1526,white sugar,condiment
53731,16406,ground black pepper,spice
186685,2958,light soy sauce,condiment
186685,5595,hoisin sauce,condiment
186685,12057,Asian chili sauce,condiment
186685,5107,lemon juice,plantproduct
186685,4343,fresh ginger root,spice
