url - loc,cat_id,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6
https://www.allrecipes.com/recipes/1217/world-cuisine/latin-american/mexican/desserts/,1217,world-cuisine,latin-american,mexican,desserts,,
https://www.allrecipes.com/recipes/1214/world-cuisine/latin-american/mexican/appetizers/,1214,world-cuisine,latin-american,mexican,appetizers,,
https://www.allrecipes.com/recipes/1470/world-cuisine/latin-american/mexican/authentic/,1470,world-cuisine,latin-american,mexican,authentic,,
https://www.allrecipes.com/recipes/1514/world-cuisine/latin-american/mexican/main-dishes/enchiladas/chicken/,1514,world-cuisine,latin-american,mexican,main-dishes,enchiladas,chicken
https://www.allrecipes.com/recipes/1515/world-cuisine/latin-american/mexican/main-dishes/enchiladas/beef/,1515,world-cuisine,latin-american,mexican,main-dishes,enchiladas,beef
https://www.allrecipes.com/recipes/1516/world-cuisine/latin-american/mexican/soups-and-stews/beef/,1516,world-cuisine,latin-american,mexican,soups-and-stews,beef,
https://www.allrecipes.com/recipes/1517/world-cuisine/latin-american/mexican/soups-and-stews/chicken/,1517,world-cuisine,latin-american,mexican,soups-and-stews,chicken,
https://www.allrecipes.com/recipes/1518/world-cuisine/latin-american/mexican/soups-and-stews/pork/,1518,world-cuisine,latin-american,mexican,soups-and-stews,pork,
https://www.allrecipes.com/recipes/1519/world-cuisine/latin-american/mexican/soups-and-stews/vegetarian/,1519,world-cuisine,latin-american,mexican,soups-and-stews,vegetarian,
https://www.allrecipes.com/recipes/1520/world-cuisine/latin-american/mexican/soups-and-stews/chili/,1520,world-cuisine,latin-american,mexican,soups-and-stews,chili,
https://www.allrecipes.com/recipes/1521/world-cuisine/latin-american/mexican/main-dishes/beef/,1521,world-cuisine,latin-american,mexican,main-dishes,beef,
https://www.allrecipes.com/recipes/1525/world-cuisine/latin-american/mexican/bread/,1525,world-cuisine,latin-american,mexican,bread,,
https://www.allrecipes.com/recipes/1526/world-cuisine/latin-american/mexican/side-dishes/,1526,world-cuisine,latin-american,mexican,side-dishes,,
https://www.allrecipes.com/recipes/1527/world-cuisine/latin-american/mexican/main-dishes/chicken/,1527,world-cuisine,latin-american,mexican,main-dishes,chicken,
https://www.allrecipes.com/recipes/1638/world-cuisine/canadian/toronto/,1638,world-cuisine,canadian,toronto,,,
https://www.allrecipes.com/recipes/1789/world-cuisine/european/italian/authentic/,1789,world-cuisine,european,italian,authentic,,
https://www.allrecipes.com/recipes/1790/world-cuisine/european/italian/soups-and-stews/,1790,world-cuisine,european,italian,soups-and-stews,,
https://www.allrecipes.com/recipes/1791/world-cuisine/european/italian/desserts/,1791,world-cuisine,european,italian,desserts,,
https://www.allrecipes.com/recipes/1792/world-cuisine/european/italian/side-dishes/,1792,world-cuisine,european,italian,side-dishes,,
https://www.allrecipes.com/recipes/1793/world-cuisine/european/italian/appetizers/,1793,world-cuisine,european,italian,appetizers,,
https://www.allrecipes.com/recipes/1794/world-cuisine/european/italian/main-dishes/beef/,1794,world-cuisine,european,italian,main-dishes,beef,
https://www.allrecipes.com/recipes/1796/world-cuisine/european/italian/main-dishes/chicken/,1796,world-cuisine,european,italian,main-dishes,chicken,
